vin,event_type,count(timestamp)
19UUA56673A045377,display,1
19UUA56673A045377,show,8
19UUA56673A045377,visit,2
19UUA765X8A049739,display,1
19UUA765X8A049739,show,3
19UUA765X8A049739,visit,2
19UUA8F5XBA007259,display,1
19UUA8F5XBA007259,show,3
19UUA8F5XBA007259,visit,3
19UUA9F75DA000679,display,1
19UUA9F75DA000679,show,1
19UUA9F75DA000679,visit,5
19UYA42611A013426,display,1
19UYA42611A013426,show,7
19UYA42611A013426,visit,6
1B3ER69E7TV200928,display,1
1B3ER69E7TV200928,visit,1
1B3ES56C93D113698,click,4
1B3ES56C93D113698,display,1
1B3ES56C93D113698,show,6
1B3ES56C93D113698,visit,7
1B7GL2AZ0YS705010,display,1
1B7GL2AZ0YS705010,show,13
1B7GL2AZ0YS705010,visit,3
1B7GN14M2HS496017,display,1
1B7GN14M2HS496017,show,1
1B7GN14M2HS496017,visit,3
1B7HD14Y1JS629303,change,1
1B7HD14Y1JS629303,click,1
1B7HD14Y1JS629303,display,1
1B7HD14Y1JS629303,edit,8
1B7HD14Y1JS629303,show,13
1B7HD14Y1JS629303,visit,15
1C3CCBAG7DN724342,click,4
1C3CCBAG7DN724342,display,3
1C3CCBAG7DN724342,visit,23
1C3CCBBB0DN577770,display,2
1C3CCBBB0DN577770,visit,6
1C3CCBBB5DN693692,click,1
1C3CCBBB5DN693692,display,1
1C3CCBBB5DN693692,show,1
1C3CCBBB5DN693692,visit,3
1C3CCCAB9FN640343,display,6
1C3CCCAB9FN640343,visit,6
1C3CCCBBXFN680560,display,1
1C3CCCBBXFN680560,visit,6
1C3CDFBBXFD265243,display,4
1C3CDFBBXFD265243,visit,4
1C3CDFCA8DD711716,display,2
1C3CDFCA8DD711716,show,12
1C3CDFCA8DD711716,visit,9
1C3CDZABXDN534349,display,1
1C3CDZABXDN534349,visit,3
1C3EL46T54N167232,click,2
1C3EL46T54N167232,display,2
1C3EL46T54N167232,show,1
1C3EL46T54N167232,visit,4
1C4AJWBG5FL533838,display,24
1C4AJWBG5FL533838,visit,30
1C4AJWBG6CL228618,display,10
1C4AJWBG6CL228618,visit,10
1C4BJWEG2CL177411,display,4
1C4BJWEG2CL177411,visit,8
1C4GJ15B42B579934,display,1
1C4GJ15B42B579934,visit,1
1C4NJCBAXGD621646,display,4
1C4NJCBAXGD621646,visit,4
1C4NJDBB7FD439965,display,4
1C4NJDBB7FD439965,visit,4
1C4NJPBA8CD689008,click,1
1C4NJPBA8CD689008,display,1
1C4NJPBA8CD689008,visit,7
1C4NJPBA8GD550499,display,2
1C4NJPBA8GD550499,visit,2
1C4NJRBB1ED879305,click,1
1C4NJRBB1ED879305,display,2
1C4NJRBB1ED879305,visit,13
1C4PJLCB1FW694701,display,16
1C4PJLCB1FW694701,visit,20
1C4PJLCB3FW694845,display,4
1C4PJLCB3FW694845,visit,4
1C4PJLCB5FW699884,display,2
1C4PJLCB5FW699884,visit,6
1C4PJLCB5FW706395,display,32
1C4PJLCB5FW706395,visit,36
1C4PJLCBXFW759822,display,1
1C4PJLCBXFW759822,visit,2
1C4RDHAG3FC244478,display,6
1C4RDHAG3FC244478,visit,6
1C4RJEAG2EC225314,display,1
1C4RJEAG2EC225314,show,4
1C4RJEAG2EC225314,visit,9
1C4RJEBG5GC320595,display,1
1C4RJEBG5GC320595,visit,2
1C6RR6GG0GS226659,display,4
1C6RR6GG0GS226659,visit,4
1C6RR6GG5FS552844,display,4
1C6RR6GG5FS552844,visit,4
1C6RR6GT9GS143549,display,2
1C6RR6GT9GS143549,visit,2
1C6RR7KPXDS537895,display,1
1C6RR7KPXDS537895,show,1
1C6RR7KPXDS537895,visit,1
1C6RR7NT2GS125693,show,2
1C6RR7NT2GS125693,visit,3
1D3HA18Z72J195754,click,4
1D3HA18Z72J195754,display,4
1D3HA18Z72J195754,show,8
1D3HA18Z72J195754,visit,13
1D4HB38N66F169978,display,1
1D4HB38N66F169978,visit,5
1D4HD48N05F615847,display,1
1D4HD48N05F615847,show,2
1D4HD48N05F615847,visit,1
1D4PT4GX5BW606896,display,2
1D4PT4GX5BW606896,visit,2
1D4RD2GG0BC617140,display,1
1D4RD2GG0BC617140,show,5
1D4RD2GG0BC617140,visit,5
1D7HA16N16J104224,display,1
1D7HA16N16J104224,show,5
1D7HA16N16J104224,visit,10
1D7HA18N42J267618,display,1
1D7HA18N42J267618,visit,7
1D7HA18N84J263283,display,1
1D7HA18N84J263283,visit,6
1D7HA18P87S122004,display,1
1D7HA18P87S122004,visit,5
1D7HE48N66S570549,click,4
1D7HE48N66S570549,display,1
1D7HE48N66S570549,visit,5
1D7RV1GP9AS161542,display,2
1D7RV1GP9AS161542,visit,2
1FADP3F20FL242551,display,6
1FADP3F20FL242551,visit,6
1FADP3F20FL316728,display,2
1FADP3F20FL316728,visit,2
1FADP3F21FL244163,display,2
1FADP3F21FL244163,visit,2
1FADP3F22DL245738,display,1
1FADP3F22DL245738,show,1
1FADP3F22DL245738,visit,2
1FADP3F22FL206537,display,4
1FADP3F22FL206537,visit,4
1FADP3F24FL202036,display,2
1FADP3F24FL202036,visit,2
1FADP3F27DL176156,click,5
1FADP3F27DL176156,display,1
1FADP3F27DL176156,visit,8
1FAFP34N35W277071,display,4
1FAFP34N35W277071,show,11
1FAFP34N35W277071,visit,22
1FAFP36333W131357,click,4
1FAFP36333W131357,display,2
1FAFP36333W131357,show,5
1FAFP36333W131357,visit,5
1FAFP36353W307535,display,1
1FAFP36353W307535,visit,3
1FAFP42XX3F370421,display,1
1FAFP42XX3F370421,visit,5
1FAFP52U22A156174,display,1
1FAFP52U22A156174,visit,3
1FAFP55S34A203127,display,1
1FAFP55S34A203127,show,2
1FAFP55S34A203127,visit,3
1FAFP55S61A154257,display,1
1FAFP55S61A154257,show,3
1FAFP55S61A154257,visit,10
1FAFP90S45Y401965,display,1
1FAFP90S45Y401965,visit,1
1FAHP60A44Y101923,show,13
1FAHP60A44Y101923,visit,9
1FATP8FF5G5207943,display,12
1FATP8FF5G5207943,visit,12
1FDXW46R58EE27503,click,2
1FDXW46R58EE27503,display,1
1FDXW46R58EE27503,show,6
1FDXW46R58EE27503,visit,19
1FM5K7B8XDGC93667,click,1
1FM5K7B8XDGC93667,display,1
1FM5K7B8XDGC93667,visit,8
1FM5K7D81DGA68938,display,2
1FM5K7D81DGA68938,visit,2
1FM5K7F86DGA36807,display,1
1FM5K7F86DGA36807,show,2
1FM5K7F86DGA36807,visit,8
1FM5K8D84DGA50892,display,4
1FM5K8D84DGA50892,visit,4
1FM5K8D8XDGB38197,display,2
1FM5K8D8XDGB38197,visit,2
1FMCU03166KC03005,visit,5
1FMCU0F75DUA57357,display,1
1FMCU0F75DUA57357,visit,2
