year,min(mileage),max(mileage),avg(mileage)
1985,95591,95591,95591.0
1987,91537,91537,91537.0
1988,7000,9538,8269.0
1989,54111,54111,54111.0
1990,648,3500,2074.0
1991,208583,208583,208583.0
1992,62030,62030,62030.0
1994,176148,176148,176148.0
1995,100142,163622,137977.33333333334
1996,49450,253450,165919.0
1997,86491,138000,117526.66666666667
1998,80330,207784,139177.625
1999,64057,220000,139635.75
2000,73112,233912,158495.44444444444
2001,51035,262983,165276.64285714287
2002,47070,213483,139307.03846153847
2003,70311,275000,151141.27083333334
2004,74525,247132,139214.17073170733
2005,4100,264980,129733.29824561403
2006,27194,269408,122827.08641975309
2007,15313,347816,125146.16455696203
2008,33371,198903,110141.94736842105
2009,35747,179093,108757.38636363637
2010,37160,195879,101403.3947368421
2011,6000,170443,82945.95833333333
2012,21471,148504,64253.75675675676
2013,6463,136329,51291.903225806454
2014,4120,193039,41034.97619047619
2015,4241,91430,31795.158536585364
2016,5,47277,20587.37837837838
2017,1,10,7.0
