make,model,min(price),max(price),avg(price)
Acura,CL,2000.0,2000.0,2000.0
Acura,MDX,16495.0,19995.0,18163.333333333332
Acura,TL,5747.0,25900.0,15159.25
Acura,TSX,8900.0,8900.0,8900.0
Audi,A4,4500.0,12500.0,8665.0
Audi,A6,2500.0,2500.0,2500.0
Audi,A8,3995.0,3995.0,3995.0
Audi,Q7,14900.0,16995.0,15947.5
BMW,1 Series,17490.0,17490.0,17490.0
BMW,3 Series,2900.0,17987.0,8504.272727272728
BMW,5 Series,3950.0,10995.0,7333.75
BMW,6 Series,53000.0,53000.0,53000.0
BMW,7 Series,10900.0,12000.0,11450.0
BMW,X3,7995.0,8850.0,8422.5
BMW,Z3,3700.0,3700.0,3700.0
Buick,Enclave,21500.0,21500.0,21500.0
Buick,LaCrosse,10900.0,25999.0,18134.75
Buick,LeSabre,4995.0,4995.0,4995.0
Buick,Park Avenue,2995.0,6000.0,4497.5
Buick,Regal,5995.0,23988.0,18164.25
Buick,Verano,11944.0,11944.0,11944.0
Cadillac,CTS,3946.0,29990.0,13978.333333333334
Cadillac,DeVille,1295.0,7125.0,4210.0
Cadillac,Escalade,9186.0,16000.0,12028.666666666666
Cadillac,SRX,18900.0,18900.0,18900.0
Cadillac,Seville,4500.0,4995.0,4747.5
Chevrolet,Avalanche 1500,7490.0,22875.0,13413.333333333334
Chevrolet,Camaro,16930.0,23995.0,20462.5
Chevrolet,Caprice,7995.0,7995.0,7995.0
Chevrolet,Cobalt,2895.0,7995.0,5288.25
Chevrolet,Colorado,6995.0,6995.0,6995.0
Chevrolet,Corvette,4999.0,49850.0,28323.333333333332
Chevrolet,Cruze,14967.0,14967.0,14967.0
Chevrolet,Equinox,5995.0,9200.0,7548.333333333333
Chevrolet,HHR,5950.0,5950.0,5950.0
Chevrolet,Impala,4800.0,25989.0,16080.833333333334
Chevrolet,Malibu,4000.0,16988.0,9841.875
Chevrolet,Malibu Maxx,6995.0,6995.0,6995.0
Chevrolet,Monte Carlo,6000.0,6000.0,6000.0
Chevrolet,S-10,3995.0,3995.0,3995.0
Chevrolet,Silverado 1500,7500.0,30995.0,15303.111111111111
Chevrolet,Silverado 2500HD,10900.0,32335.0,19076.666666666668
Chevrolet,Silverado 3500HD,34950.0,34950.0,34950.0
Chevrolet,Suburban 1500,16980.0,16980.0,16980.0
Chevrolet,Suburban 2500,22980.0,22980.0,22980.0
Chevrolet,Tahoe,7599.0,49000.0,19654.333333333332
Chevrolet,TrailBlazer,5495.0,5895.0,5695.0
Chrysler,200,8900.0,16500.0,11800.0
Chrysler,300,5500.0,7000.0,6250.0
Chrysler,300M,3000.0,3000.0,3000.0
Chrysler,PT Cruiser,3995.0,6995.0,5245.0
Chrysler,Pacifica,6499.0,7499.0,6999.0
Chrysler,Sebring,3399.0,4500.0,3949.6666666666665
Chrysler,Town & Country,13995.0,14997.0,14329.0
Chrysler,Voyager,1750.0,1750.0,1750.0
Dodge,Avenger,7995.0,7995.0,7995.0
Dodge,Challenger,16995.0,31995.0,24495.0
Dodge,Charger,9277.0,23990.0,16633.5
Dodge,Dakota,3999.0,3999.0,3999.0
Dodge,Durango,4900.0,11950.0,7950.0
Dodge,Journey,7995.0,18489.0,13659.666666666666
Dodge,Neon,3995.0,3995.0,3995.0
Dodge,Ram 1500,7980.0,7995.0,7990.0
Dodge,Ram 2500,18500.0,32995.0,27998.333333333332
Dodge,Viper,39950.0,39950.0,39950.0
Ford,Bronco,5988.0,5988.0,5988.0
Ford,Econoline,3495.0,3495.0,3495.0
Ford,Edge,9850.0,12995.0,11422.5
Ford,Escape,9000.0,19761.0,14402.2
Ford,Excursion,26960.0,26960.0,26960.0
Ford,Expedition,2995.0,28995.0,15995.0
Ford,Explorer,1450.0,15995.0,6526.0
Ford,Explorer Sport Trac,1200.0,19500.0,9297.5
Ford,F-150,4500.0,21350.0,12333.473684210527
Ford,F-250,2000.0,26990.0,14495.0
Ford,F-350,11995.0,26990.0,22492.0
Ford,F-450,19995.0,19995.0,19995.0
Ford,F-650,16500.0,16500.0,16500.0
Ford,Fiesta,10700.0,10700.0,10700.0
Ford,Focus,2495.0,10900.0,6429.0
Ford,Freestyle,4290.0,6990.0,5267.5
Ford,Fusion,5000.0,15495.0,9379.8
Ford,GT,350000.0,350000.0,350000.0
Ford,Mustang,6500.0,18995.0,9713.166666666666
Ford,Ranger,5000.0,14980.0,8594.0
Ford,Taurus,3890.0,5115.0,4301.666666666667
Ford,Thunderbird,9900.0,9900.0,9900.0
Ford,Windstar,3900.0,3900.0,3900.0
GMC,Acadia,7995.0,29990.0,20731.5
GMC,Envoy,5995.0,5995.0,5995.0
GMC,Sierra 1500,20995.0,20995.0,20995.0
GMC,Sierra 2500HD,20950.0,20950.0,20950.0
GMC,Sierra 3500,7000.0,7000.0,7000.0
GMC,Terrain,19775.0,26994.0,23384.5
GMC,Yukon,18900.0,60070.0,39485.0
GMC,Yukon XL,9950.0,26800.0,18375.0
Honda,Accord,1950.0,8999.0,4775.666666666667
Honda,CR-V,4950.0,24190.0,13407.4
Honda,Civic,2400.0,8995.0,5676.8
Honda,Element,8599.0,8599.0,8599.0
Honda,Odyssey,3200.0,15950.0,9575.0
Honda,Pilot,10995.0,10995.0,10995.0
Honda,S2000,11950.0,11950.0,11950.0
Hummer,H3,13995.0,13995.0,13995.0
